input_refined_note	output_file	output_type	status	failure_reason
obsidian-vault/Literature/Axtell 2013 - Classification and Comparison of Small RNAs from Plants.md	obsidian-vault/Methods/Plant small RNA classification method.md	method-note	done	
obsidian-vault/Literature/Axtell 2013 - Classification and Comparison of Small RNAs from Plants.md	obsidian-vault/Concepts/Plant small RNAs.md	concept-note	done	
obsidian-vault/Literature/Axtell 2013 - Classification and Comparison of Small RNAs from Plants.md	obsidian-vault/Concepts/Hairpin RNA.md	concept-note	done	
obsidian-vault/Literature/Axtell 2013 - Classification and Comparison of Small RNAs from Plants.md	obsidian-vault/Concepts/Small interfering RNA.md	concept-note	done	
obsidian-vault/Literature/Axtell 2013 - Classification and Comparison of Small RNAs from Plants.md	obsidian-vault/Concepts/Phased secondary siRNA.md	concept-note	done	
obsidian-vault/Literature/Axtell 2013 - Classification and Comparison of Small RNAs from Plants.md	obsidian-vault/Maps/Plant small RNA knowledge map.md	topic-map	done	
obsidian-vault/Literature/Axtell 2013 - Classification and Comparison of Small RNAs from Plants.md	obsidian-vault/Bases/Literature Evidence.base	base	done	
obsidian-vault/Literature/Axtell 2013 - Classification and Comparison of Small RNAs from Plants.md	obsidian-vault/Canvas/Plant small RNA map.canvas	canvas	done	
